,titulo,preco_original,desconto_percentual,preco_com_desconto,quantidade_vendida,marca,material,genero,temporada,nota_satisfacao,quantidade_avaliações
75,Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,R$ 109.68,22%,R$ 89.90,10000,Lupo,Algodão,Masculino,Primavera/Verão,3.1,2386
76,Faixa Para Cabelo Lupo Dia Dia E Esporte 15010-001,R$ 41.99,0%,R$ 41.99,50,Lupo,N/A,Feminino,N/A,4.5,6
77,Máscara Lupo Zero Costura Bac Off - 2 Unidades,R$ 23.00,0%,R$ 23.00,1000,Lupo,N/A,N/A,N/A,3.1,98
78,Kit 6 Cuecas Boxer Lupo Algodão Masculina Box Original,R$ 115.19,0%,R$ 115.19,100,Lupo,Algodão Cotton,Masculino,Primavera-verão Outono-Inverno,4.7,43
79,4 Máscara Lupo De Proteção Dupla Reutilizável Antimicrobiana Cor Preto,R$ 38.42,11%,R$ 34.61,50000,Lupo,N/A,N/A,N/A,Sem avaliação,0
80,K 7 Cuecas Lupo Boxer Box Extra Grande Plus Size Confortável,R$ 187.71,0%,R$ 187.71,5,Lupo,Algodão,Masculino,Primavera-verão Outono-Inverno,Sem avaliação,0
81,Kit 9 Cuecas Lupo Slip Masculino Algodão Adulto Original,R$ 284.75,24%,R$ 229.64,50,Lupo,Algodão,Masculino,Outono/Inverno,4.5,11
82,Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,R$ 188.90,5%,R$ 179.90,1000,Lupo,Algodão 95%,Masculino,2021,3.1,621
83,Kit 10 Cuecas Lupo Boxer Masculinas Atacado Box 523 Algodão,R$ 188.90,5%,R$ 179.90,1000,Lupo,Algodão 95%,Masculino,2021,4.2,621
84,Short Calcinha Feminina Básica Microfibra Sem Costura Lupo,R$ 39.99,0%,R$ 39.99,5,Lupo,Poliamida,Feminino,Primavera/Verão,Sem avaliação,0
